bestellnummer;lieferant_plz;lieferant_ort;lieferant_land;empfaenger;empfaenger_plz;empfaenger_ort;empfaenger_land;incoterm;incoterms_ort;termin_lieferant;termin_empfaenger;bb_name
0040094426;200023;Shanghai;CN;Migros Verteilbetrieb AG;4623;NEUENDORF;CH;FOB;Ningbo;20.06.2022 00:00;19.08.2022 00:00;PAPETERIE
0040094426;200023;Shanghai;CN;Migros Verteilbetrieb AG;4623;NEUENDORF;CH;FOB;Ningbo;20.06.2022 00:00;19.08.2022 00:00;PAPETERIE
0040094428;6203;Sempach Station;CH;Migros Verteilbetrieb AG;4623;NEUENDORF;CH;FOB;Yantian Pt;08.06.2022 00:00;08.08.2022 00:00;KUECHE
0040094428;6203;Sempach Station;CH;Migros Verteilbetrieb AG;4623;NEUENDORF;CH;FOB;Yantian Pt;08.06.2022 00:00;08.08.2022 00:00;KUECHE
0040094428;6203;Sempach Station;CH;Migros Verteilbetrieb AG;4623;NEUENDORF;CH;FOB;Yantian Pt;08.06.2022 00:00;08.08.2022 00:00;KUECHE
0040094428;6203;Sempach Station;CH;Migros Verteilbetrieb AG;4623;NEUENDORF;CH;FOB;Yantian Pt;08.06.2022 00:00;08.08.2022 00:00;KUECHE
0040094428;6203;Sempach Station;CH;Migros Verteilbetrieb AG;4623;NEUENDORF;CH;FOB;Yantian Pt;08.06.2022 00:00;08.08.2022 00:00;KUECHE
0040094429;211111;Jiangning District, Nanjing;CN;MVN NEUENDORF AG B1;8604;VOLKETSWIL;CH;FOB;Shanghai;04.06.2022 00:00;08.08.2022 00:00;KINDER WÄSCHE/STRUMP/BADE
0040096726;362012;QuanZhou City, FuJian Province;CN;MVN NEUENDORF AG B1;8604;VOLKETSWIL;CH;FOB;Xiamen Pt;05.12.2022 00:00;09.02.2023 00:00;BABY KINDER BEKLEIDUNG
0040096726;362012;QuanZhou City, FuJian Province;CN;MVN NEUENDORF AG B1;8604;VOLKETSWIL;CH;FOB;Xiamen Pt;05.12.2022 00:00;09.02.2023 00:00;BABY KINDER BEKLEIDUNG
0040096726;362012;QuanZhou City, FuJian Province;CN;MVN NEUENDORF AG B1;8604;VOLKETSWIL;CH;FOB;Xiamen Pt;05.12.2022 00:00;09.02.2023 00:00;BABY KINDER BEKLEIDUNG
0040094432;110;Taipei;TW;Migros Verteilbetrieb AG;4623;NEUENDORF;CH;FOB;Yantian Pt;01.07.2022 00:00;31.08.2022 00:00;WOHNEN
0040094432;110;Taipei;TW;Migros Verteilbetrieb AG;4623;NEUENDORF;CH;FOB;Yantian Pt;01.07.2022 00:00;31.08.2022 00:00;WOHNEN
0040094432;110;Taipei;TW;Migros Verteilbetrieb AG;4623;NEUENDORF;CH;FOB;Yantian Pt;01.07.2022 00:00;31.08.2022 00:00;WOHNEN
0040094432;110;Taipei;TW;Migros Verteilbetrieb AG;4623;NEUENDORF;CH;FOB;Yantian Pt;01.07.2022 00:00;31.08.2022 00:00;WOHNEN
0040094432;110;Taipei;TW;Migros Verteilbetrieb AG;4623;NEUENDORF;CH;FOB;Yantian Pt;01.07.2022 00:00;31.08.2022 00:00;WOHNEN
0040094432;110;Taipei;TW;Migros Verteilbetrieb AG;4623;NEUENDORF;CH;FOB;Yantian Pt;01.07.2022 00:00;31.08.2022 00:00;WOHNEN
0040094432;110;Taipei;TW;Migros Verteilbetrieb AG;4623;NEUENDORF;CH;FOB;Yantian Pt;01.07.2022 00:00;31.08.2022 00:00;WOHNEN
0040094432;110;Taipei;TW;Migros Verteilbetrieb AG;4623;NEUENDORF;CH;FOB;Yantian Pt;01.07.2022 00:00;31.08.2022 00:00;WOHNEN
0040094432;110;Taipei;TW;Migros Verteilbetrieb AG;4623;NEUENDORF;CH;FOB;Yantian Pt;01.07.2022 00:00;31.08.2022 00:00;WOHNEN
0040094432;110;Taipei;TW;Migros Verteilbetrieb AG;4623;NEUENDORF;CH;FOB;Yantian Pt;01.07.2022 00:00;31.08.2022 00:00;WOHNEN
0040094432;110;Taipei;TW;Migros Verteilbetrieb AG;4623;NEUENDORF;CH;FOB;Yantian Pt;01.07.2022 00:00;31.08.2022 00:00;WOHNEN
0040094432;110;Taipei;TW;Migros Verteilbetrieb AG;4623;NEUENDORF;CH;FOB;Yantian Pt;01.07.2022 00:00;31.08.2022 00:00;WOHNEN
0040094432;110;Taipei;TW;Migros Verteilbetrieb AG;4623;NEUENDORF;CH;FOB;Yantian Pt;01.07.2022 00:00;31.08.2022 00:00;WOHNEN
0040094432;110;Taipei;TW;Migros Verteilbetrieb AG;4623;NEUENDORF;CH;FOB;Yantian Pt;01.07.2022 00:00;31.08.2022 00:00;WOHNEN
0040094432;110;Taipei;TW;Migros Verteilbetrieb AG;4623;NEUENDORF;CH;FOB;Yantian Pt;01.07.2022 00:00;31.08.2022 00:00;WOHNEN
0040094432;110;Taipei;TW;Migros Verteilbetrieb AG;4623;NEUENDORF;CH;FOB;Yantian Pt;01.07.2022 00:00;31.08.2022 00:00;WOHNEN
0040094434;115239;Kowloon, Hung Hom;HK;Migros Verteilbetrieb AG;4623;NEUENDORF;CH;FOB;Ningbo;25.06.2022 00:00;24.08.2022 00:00;WOHNEN
0040094434;115239;Kowloon, Hung Hom;HK;Migros Verteilbetrieb AG;4623;NEUENDORF;CH;FOB;Ningbo;25.06.2022 00:00;24.08.2022 00:00;WOHNEN
0040094434;115239;Kowloon, Hung Hom;HK;Migros Verteilbetrieb AG;4623;NEUENDORF;CH;FOB;Ningbo;25.06.2022 00:00;24.08.2022 00:00;WOHNEN
0040096050;;Kwai Chung, N.T.;HK;Migros Verteilbetrieb AG;4623;NEUENDORF;CH;FOB;Yantian Pt;11.11.2022 00:00;11.01.2023 00:00;ACCESSOIRES
0040094434;115239;Kowloon, Hung Hom;HK;Migros Verteilbetrieb AG;4623;NEUENDORF;CH;FOB;Ningbo;25.06.2022 00:00;24.08.2022 00:00;WOHNEN
0040094434;115239;Kowloon, Hung Hom;HK;Migros Verteilbetrieb AG;4623;NEUENDORF;CH;FOB;Ningbo;25.06.2022 00:00;24.08.2022 00:00;WOHNEN
0040094434;115239;Kowloon, Hung Hom;HK;Migros Verteilbetrieb AG;4623;NEUENDORF;CH;FOB;Ningbo;25.06.2022 00:00;24.08.2022 00:00;WOHNEN
0040094436;115239;Kowloon, Hung Hom;HK;Migros Verteilbetrieb AG;4623;NEUENDORF;CH;FOB;Yantian Pt;26.06.2022 00:00;26.08.2022 00:00;WOHNEN
0040094436;115239;Kowloon, Hung Hom;HK;Migros Verteilbetrieb AG;4623;NEUENDORF;CH;FOB;Yantian Pt;26.06.2022 00:00;26.08.2022 00:00;WOHNEN
0040094436;115239;Kowloon, Hung Hom;HK;Migros Verteilbetrieb AG;4623;NEUENDORF;CH;FOB;Yantian Pt;26.06.2022 00:00;26.08.2022 00:00;WOHNEN
0040094437;;On Lok Tsuen, Fanling;HK;Migros Verteilbetrieb AG;4623;NEUENDORF;CH;FOB;Qingdao;18.06.2022 00:00;26.08.2022 00:00;WOHNEN
0040094437;;On Lok Tsuen, Fanling;HK;Migros Verteilbetrieb AG;4623;NEUENDORF;CH;FOB;Qingdao;18.06.2022 00:00;26.08.2022 00:00;WOHNEN
0040094437;;On Lok Tsuen, Fanling;HK;Migros Verteilbetrieb AG;4623;NEUENDORF;CH;FOB;Qingdao;18.06.2022 00:00;26.08.2022 00:00;WOHNEN
0040094437;;On Lok Tsuen, Fanling;HK;Migros Verteilbetrieb AG;4623;NEUENDORF;CH;FOB;Qingdao;18.06.2022 00:00;26.08.2022 00:00;WOHNEN
0040094437;;On Lok Tsuen, Fanling;HK;Migros Verteilbetrieb AG;4623;NEUENDORF;CH;FOB;Qingdao;18.06.2022 00:00;26.08.2022 00:00;WOHNEN
0040094438;315803;Ningbo;CN;Migros Verteilbetrieb AG;4623;NEUENDORF;CH;FOB;Ningbo;13.06.2022 00:00;12.08.2022 00:00;PAPETERIE
0040094443;;Tsim Sha Tsui East;HK;Migros Verteilbetrieb AG;4623;NEUENDORF;CH;FOB;Yantian Pt;30.06.2022 00:00;30.08.2022 00:00;PAPETERIE
0040094443;;Tsim Sha Tsui East;HK;Migros Verteilbetrieb AG;4623;NEUENDORF;CH;FOB;Yantian Pt;30.06.2022 00:00;30.08.2022 00:00;PAPETERIE
0040094443;;Tsim Sha Tsui East;HK;Migros Verteilbetrieb AG;4623;NEUENDORF;CH;FOB;Yantian Pt;30.06.2022 00:00;30.08.2022 00:00;PAPETERIE
0040094443;;Tsim Sha Tsui East;HK;Migros Verteilbetrieb AG;4623;NEUENDORF;CH;FOB;Yantian Pt;30.06.2022 00:00;30.08.2022 00:00;PAPETERIE
0040094443;;Tsim Sha Tsui East;HK;Migros Verteilbetrieb AG;4623;NEUENDORF;CH;FOB;Yantian Pt;30.06.2022 00:00;30.08.2022 00:00;PAPETERIE
0040094443;;Tsim Sha Tsui East;HK;Migros Verteilbetrieb AG;4623;NEUENDORF;CH;FOB;Yantian Pt;30.06.2022 00:00;30.08.2022 00:00;PAPETERIE
0040094443;;Tsim Sha Tsui East;HK;Migros Verteilbetrieb AG;4623;NEUENDORF;CH;FOB;Yantian Pt;30.06.2022 00:00;30.08.2022 00:00;PAPETERIE
